161: Ret: -250.30; Last 100 Avg Ret: -159.55; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 10; Solved: N
162: Ret: -37.72; Last 100 Avg Ret: -155.83; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 10; Solved: N
163: Ret: -300.34; Last 100 Avg Ret: -156.71; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 11; Solved: N
164: Ret: -120.17; Last 100 Avg Ret: -157.31; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 11; Solved: N
165: Ret: -70.41; Last 100 Avg Ret: -156.37; Var: 0.00000100; NE: 1.143; ACh: 0.490; ActLR: 0.00006250; EpCount0: 11; Solved: N
166: Ret: -239.80; Last 100 Avg Ret: -157.54; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 11; Solved: N
167: Ret: -213.63; Last 100 Avg Ret: -158.52; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 11; Solved: N
168: Ret: -355.60; Last 100 Avg Ret: -159.72; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 11; Solved: N
169: Ret: -252.11; Last 100 Avg Ret: -161.14; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 11; Solved: N
170: Ret: -231.74; Last 100 Avg Ret: -158.76; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 11; Solved: N
